strain_region_coarse_date	accession	date	region_coarse	country	strain
MPX/Human/USA/CA-LACPHL-MA00206/2022_NorthAmerica_2022-09-13	OP615279	2022-09-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00206/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00400/2022_NorthAmerica_2022-12-19	OQ330998	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00400/2022
MPXV/Human/USA/CA-LACPHL-MA00327/2022_NorthAmerica_2022-11-09	OP890555	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00327/2022
MPXV/Human/USA/CA-LACPHL-MA00336/2022_NorthAmerica_2022-11-09	OP890564	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00336/2022
MPXV/Human/USA/CA-LACPHL-MA00330/2022_NorthAmerica_2022-11-09	OP890558	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00330/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00399/2022_NorthAmerica_2022-12-30	OQ331008	2022-12-30	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00397/2023_NorthAmerica_2023-01-03	OQ331006	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00397/2023
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00396/2023_NorthAmerica_2023-01-03	OQ331005	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00396/2023
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00398/2023_NorthAmerica_2023-01-03	OQ331007	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023
MPX/Human/USA/CA-LACPHL-MA00254/2022_NorthAmerica_2022-10-11	OP722513	2022-10-11	North America	USA	MPX/Human/USA/CA-LACPHL-MA00254/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00394/2022_NorthAmerica_2022-12-23	OQ330973	2022-12-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022
MPXV/Human/USA/CA-LACPHL-MA00362/2022_NorthAmerica_2022-10-28	OP920700	2022-10-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00362/2022
MPXV/Human/USA/CA-LACPHL-MA00357/2022_NorthAmerica_2022-11-08	OP920695	2022-11-08	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00357/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00374/2022_NorthAmerica_2022-11-23	OQ331002	2022-11-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022
MPXV/Human/USA/CA-LACPHL-MA00321/2022_NorthAmerica_2022-10-27	OP890525	2022-10-27	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00321/2022
MPXV_IRBA22-11_WesternEurope_2022-05-19	ON755039	2022-05-19	Western Europe	France	MPXV_IRBA22-11
hMPXV-IHU00004_WesternEurope_2022-07-04	OP382481	2022-07-04	Western Europe	France	hMPXV-IHU00004
ID6821_SouthernEurope_2022-06-21	OP838893	2022-06-21	Southern Europe	Italy	ID6821
MPXV-1047_WesternEurope_2022-06-07	OQ172215	2022-06-07	Western Europe	France	MPXV-1047
MPXV22/human/USA-NE-25_NorthAmerica_2022-06-25	OP171919	2022-06-25	North America	USA	MPXV22/human/USA-NE-25
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00393/2022_NorthAmerica_2022-12-13	OQ331004	2022-12-13	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022
hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_2022-10-07	OP863229	2022-10-07	North America	USA	hMpxV/USA/CA-CDPH-000055/2022
Monkeypox/PT0578/2022_SouthernEurope_2022-09-12	OP555649	2022-09-12	Southern Europe	Portugal	Monkeypox/PT0578/2022
hMPXV/Austria/MUW1539124/2022_WesternEurope_2022-08-02	OP422342	2022-08-02	Western Europe	Austria	hMPXV/Austria/MUW1539124/2022
hMPXV/Austria/MUW1538395/2022_WesternEurope_2022-08-01	OP422341	2022-08-01	Western Europe	Austria	hMPXV/Austria/MUW1538395/2022
hMPXV/Austria/MUW1531254/2022_WesternEurope_2022-07-04	OP019277	2022-07-04	Western Europe	Austria	hMPXV/Austria/MUW1531254/2022
Monkeypox/PT0395/2022_SouthernEurope_2022-07-13	OP555491	2022-07-13	Southern Europe	Portugal	Monkeypox/PT0395/2022
MPX/PT0065/2022_SouthernEurope_2022-07-27	OP245319	2022-07-27	Southern Europe	Portugal	MPX/PT0065/2022
MpxV/human/CAN/UN-NML-3976/2022_NorthAmerica_2022-07-04	OP270024	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3976/2022
MpxV/human/CAN/UN-NML-4024/2022_NorthAmerica_2022-07-05	OP270027	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4024/2022
MpxV/human/CAN/UN-NML-3975/2022_NorthAmerica_2022-07-04	OP270023	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3975/2022
MpxV/human/CAN/UN-NML-3257/2022_NorthAmerica_2022-05-30	ON880533	2022-05-30	North America	Canada	MpxV/human/CAN/UN-NML-3257/2022
MPXV/Germany/2022/RKI396_WesternEurope_2022-09-01	OP523999	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI396
PatientMPXV_WesternEurope_2022-06-10	OP204840	2022-06-10	Western Europe	France	PatientMPXV
MPX/Human/USA/CA-LACPHL-MA00116/2022_NorthAmerica_2022-09-14	OP539901	2022-09-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00116/2022
MPX_bSkpM3_9000334_WesternEurope_2022-08-31	OP415272	2022-08-31	Western Europe	United Kingdom	MPX_bSkpM3_9000334
MPXV_USA_2022_FL0011_NorthAmerica_2022-06-30	OP225967	2022-06-30	North America	USA	MPXV_USA_2022_FL0011
PrEV_case_2_WesternEurope_2022-10-02	OP727822	2022-10-02	Western Europe	Belgium	PrEV_case_2
hMpxV/UK/LMO-029a/2022_WesternEurope_2022-07-07	OP390195	2022-07-07	Western Europe	United Kingdom	hMpxV/UK/LMO-029a/2022
SAN_INS_MPX_0971_L_SouthAmerica_2022-10-11	OP819959	2022-10-11	South America	Colombia	SAN_INS_MPX_0971_L
CUN_INS_MPX_0649_C_SouthAmerica_2022-08-23	OP693651	2022-08-23	South America	Colombia	CUN_INS_MPX_0649_C
VAC_INS_MPX_0960_C_SouthAmerica_2022-10-15	OP819954	2022-10-15	South America	Colombia	VAC_INS_MPX_0960_C
LBMB-UTP_MP-021_VAC_SouthAmerica_2022-11-11	OQ148473	2022-11-11	South America	Colombia	LBMB-UTP_MP-021_VAC
ANT-LDSP-ANT-MPX-24594-L_SouthAmerica_2022-09-07	OP642378	2022-09-07	South America	Colombia	ANT-LDSP-ANT-MPX-24594-L
VAC_INS_MPX_0955_C_SouthAmerica_2022-10-11	OP819949	2022-10-11	South America	Colombia	VAC_INS_MPX_0955_C
VAC_INS_MPX_0962_C_SouthAmerica_2022-10-13	OP819955	2022-10-13	South America	Colombia	VAC_INS_MPX_0962_C
hMPX/Human/USA/CA-LACPHL-MA00086/2022_NorthAmerica_2022-08-01	OP442553	2022-08-01	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00086/2022
MpxV/human/CAN/UN-NML-2833/2022_NorthAmerica_2022-05-13	ON880519	2022-05-13	North America	Canada	MpxV/human/CAN/UN-NML-2833/2022
MpxV/human/CAN/UN-NML-4125/2022_NorthAmerica_2022-06-29	OP279041	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-4125/2022
MpxV/human/CAN/UN-NML-3582/2022_NorthAmerica_2022-06-08	OP013008	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3582/2022
MpxV/human/CAN/UN-NML-3725/2022_NorthAmerica_2022-06-16	ON983167	2022-06-16	North America	Canada	MpxV/human/CAN/UN-NML-3725/2022
MpxV/human/CAN/UN-NML-4144/2022_NorthAmerica_2022-07-04	OP279045	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4144/2022
MpxV/human/CAN/UN-NML-4103/2022_NorthAmerica_2022-07-04	OP279035	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4103/2022
MpxV/human/CAN/UN-NML-4097/2022_NorthAmerica_2022-07-04	OP279034	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-4097/2022
hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022_WesternEurope_2022-06-02	ON792321	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022
MPXV/Germany/2022/RKI633_WesternEurope_2022-11-01	OQ159028	2022-11-01	Western Europe	Germany	MPXV/Germany/2022/RKI633
MPXV/Germany/2022/RKI182_WesternEurope_2022-07-01	OP018605	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI182
MPXV/Germany/2022/RKI551_WesternEurope_2022-06-01	OP715831	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI551
MPXV/Germany/2022/RKI023_WesternEurope_2022-05-31	ON694332	2022-05-31	Western Europe	Germany	MPXV/Germany/2022/RKI023
MPXV/Germany/2022/RKI437_WesternEurope_2022-09-01	OP594201	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI437
Monkeypox/PT0570/2022_SouthernEurope_2022-09-02	OP555641	2022-09-02	Southern Europe	Portugal	Monkeypox/PT0570/2022
MPXV/Germany/2022/RKI342_WesternEurope_2022-09-01	OP484695	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI342
hMPXV/Austria/MUW1527495/2022_WesternEurope_2022-06-21	OP019276	2022-06-21	Western Europe	Austria	hMPXV/Austria/MUW1527495/2022
LIM-INS-013_SouthAmerica_2022-07-08	OP320553	2022-07-08	South America	Peru	LIM-INS-013
LIM-INS-003_SouthAmerica_2022-06-27	OP289783	2022-06-27	South America	Peru	LIM-INS-003
CUN_INS_MPX_0748_L_SouthAmerica_2022-09-03	OP693655	2022-09-03	South America	Colombia	CUN_INS_MPX_0748_L
LIM-INS-016_SouthAmerica_2022-07-09	OP320554	2022-07-09	South America	Peru	LIM-INS-016
LIM-INS-012_SouthAmerica_2022-07-06	OP320552	2022-07-06	South America	Peru	LIM-INS-012
LIM-INS-021_SouthAmerica_2022-07-09	OP320555	2022-07-09	South America	Peru	LIM-INS-021
LIM-INS-018_SouthAmerica_2022-07-09	OP320551	2022-07-09	South America	Peru	LIM-INS-018
LIM-INS008_SouthAmerica_2022-07-01	OP320548	2022-07-01	South America	Peru	LIM-INS008
LIM-INS-001_SouthAmerica_2022-06-25	OP289782	2022-06-25	South America	Peru	LIM-INS-001
MpxV/Spain/MD-HGUGM-6532064/2022_SouthernEurope_2022-05-27	ON720849	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6532064/2022
MPXV/ES0001/HUGTiP/2022_SouthernEurope_2022-05-20	ON622718	2022-05-20	Southern Europe	Spain	MPXV/ES0001/HUGTiP/2022
MpxV/human/USA/WA-UW-092889/2022_NorthAmerica_2022-09-04	OP681774	2022-09-04	North America	USA	MpxV/human/USA/WA-UW-092889/2022
ANT-LDSP-ANT-MPX-23631-L_SouthAmerica_2022-08-30	OP459214	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23631-L
hMpxV/UK/LMO-026a/2022_WesternEurope_2022-07-01	OP390194	2022-07-01	Western Europe	United Kingdom	hMpxV/UK/LMO-026a/2022
MPXV/Germany/2022/ON/RKI644_WesternEurope_2022-08-01	OQ159039	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI644
MPXV/Germany/2022/RKI190_WesternEurope_2022-08-01	OP215232	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI190
MPXV/Germany/2022/RKI203_WesternEurope_2022-08-01	OP215211	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI203
MPXV/Germany/2022/RKI177_WesternEurope_2022-07-01	OP018602	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI177
MPXV/Germany/2022/RKI529_WesternEurope_2022-07-31	OP689682	2022-07-31	Western Europe	Germany	MPXV/Germany/2022/RKI529
SIC-AOUP-UNIPA_VL_9aug_SouthernEurope_2022-08-09	OP358276	2022-08-09	Southern Europe	Italy	SIC-AOUP-UNIPA_VL_9aug
hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022_WesternEurope_2022-06-02	ON792322	2022-06-02	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022
INMI-Pt4_SouthernEurope_2022-05-21	ON780017	2022-05-21	Southern Europe	Italy	INMI-Pt4
MPXV/Germany/2022/ON/RKI667_WesternEurope_2022-05-19	OQ274886	2022-05-19	Western Europe	Germany	MPXV/Germany/2022/ON/RKI667
MPXV/Germany/2022/ON/RKI664_WesternEurope_2022-05-19	OQ274883	2022-05-19	Western Europe	Germany	MPXV/Germany/2022/ON/RKI664
MPXV_USA_2022_GA001_NorthAmerica_2022-05-19	OP150925	2022-05-19	North America	USA	MPXV_USA_2022_GA001
hMPXV-CH-38347314/2022_WesternEurope_2022-06-08	OP783902	2022-06-08	Western Europe	Switzerland	hMPXV-CH-38347314/2022
Monkeypox/PT0527/2022_SouthernEurope_2022-08-19	OP555598	2022-08-19	Southern Europe	Portugal	Monkeypox/PT0527/2022
Monkeypox/PT0515/2022_SouthernEurope_2022-08-16	OP555586	2022-08-16	Southern Europe	Portugal	Monkeypox/PT0515/2022
ANT-LDSP-ANT-MPX-24915-L_SouthAmerica_2022-09-09	OP642388	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24915-L
ANT-LDSP-ANT-MPX-22769-L_SouthAmerica_2022-08-17	OP431401	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22769-L
ANT-LDSP-ANT-MPX-25340L_SouthAmerica_2022-09-13	OP642412	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25340L
MPXV/Germany/2022/ON/RKI511_WesternEurope_2022-10-01	OP689664	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI511
ANT-LDSP-ANT-MPX-28299E_SouthAmerica_2022-10-13	OQ261704	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28299E
LBMB-UTP_MP-019_VAC_SouthAmerica_2022-11-11	OQ148472	2022-11-11	South America	Colombia	LBMB-UTP_MP-019_VAC
INS-MPXV-0015-L1_SouthAmerica_2022-07-21	OP295382	2022-07-21	South America	Colombia	INS-MPXV-0015-L1
ANT-LDSP-ANT-MPX-22980_SouthAmerica_2022-08-19	OP477446	2022-08-19	South America	Colombia	ANT-LDSP-ANT-MPX-22980
ANT-LDSP-ANT-MPX-23683-L_SouthAmerica_2022-08-30	OP459219	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23683-L
ANT-LDSP-ANT-MPX-24728-L_SouthAmerica_2022-09-08	OP642381	2022-09-08	South America	Colombia	ANT-LDSP-ANT-MPX-24728-L
SUC-UNIMOL-MPX-293401-L_SouthAmerica_2022-11-10	OP959057	2022-11-10	South America	Colombia	SUC-UNIMOL-MPX-293401-L
QUI_INS_MPX_0967_L_SouthAmerica_2022-10-15	OP819958	2022-10-15	South America	Colombia	QUI_INS_MPX_0967_L
MPXV_UK_2022_9000072_WesternEurope_2022-06-09	OP205078	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000072
MPXV_USA_2022_WA001_NorthAmerica_2022-05-19	OP150927	2022-05-19	North America	USA	MPXV_USA_2022_WA001
MPXV_UK_2022_9000100_WesternEurope_2022-06-09	OP205088	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000100
MPXV/Germany/2022/RKI281_WesternEurope_2022-08-01	OP263636	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI281
MPXV/Germany/2022/RKI166_WesternEurope_2022-07-31	OP018592	2022-07-31	Western Europe	Germany	MPXV/Germany/2022/RKI166
MPXV/Germany/2022/RKI632_WesternEurope_2022-11-30	OQ159027	2022-11-30	Western Europe	Germany	MPXV/Germany/2022/RKI632
MPXV/Human/USA/CA-LACPHL-MA00295/2022_NorthAmerica_2022-11-01	OP890528	2022-11-01	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00295/2022
MPXV/Germany/2022/RKI160_WesternEurope_2022-07-17	ON959151	2022-07-17	Western Europe	Germany	MPXV/Germany/2022/RKI160
hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022_NorthAmerica_2022-09-10	OP820460	2022-09-10	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00390/2022_NorthAmerica_2022-12-14	OQ330997	2022-12-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00390/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00382/2022_NorthAmerica_2022-10-14	OQ330988	2022-10-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022
Slovenia-MPXV-42-2022_CentralEurope_2022-08-09	OP605583	2022-08-09	Central Europe	Slovenia	Slovenia-MPXV-42-2022
MPX_L6rBi6_9000265_WesternEurope_2022-08-31	OP415234	2022-08-31	Western Europe	United Kingdom	MPX_L6rBi6_9000265
Slovenia-MPXV-29-2022_CentralEurope_2022-07-12	OP605571	2022-07-12	Central Europe	Slovenia	Slovenia-MPXV-29-2022
INMI-Pt1_SouthernEurope_2022-05-18	ON614676	2022-05-18	Southern Europe	Italy	INMI-Pt1
MPXV22/human/USA-NE-63_NorthAmerica_2022-07-25	OP171924	2022-07-25	North America	USA	MPXV22/human/USA-NE-63
PrEV_case_1_WesternEurope_2022-08-27	OP727821	2022-08-27	Western Europe	Belgium	PrEV_case_1
Slovenia-MPXV-27-2022_CentralEurope_2022-07-08	OP605569	2022-07-08	Central Europe	Slovenia	Slovenia-MPXV-27-2022
Slovenia-MPXV-17-2022_CentralEurope_2022-07-01	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
Slovenia-MPXV-23-2022_CentralEurope_2022-07-01	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
MPXV_UK_2022_9000158_WesternEurope_2022-07-07	OP205116	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000158
MPX_0MZd8B_9000260_WesternEurope_2022-08-01	OP415229	2022-08-01	Western Europe	United Kingdom	MPX_0MZd8B_9000260
MPXV/Spain/HUNSC_ITER_0001b/2022_SouthernEurope_2022-05-31	ON782055	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001b/2022
hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022_WesternEurope_2022-06-01	ON792320	2022-06-01	Western Europe	Switzerland	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022
hMpxV/UK/LMO-043a/2022_WesternEurope_2022-07-20	OP390204	2022-07-20	Western Europe	United Kingdom	hMpxV/UK/LMO-043a/2022
MPXV_FR_HCL0001_2022_WesternEurope_2022-05-22	ON622722	2022-05-22	Western Europe	France	MPXV_FR_HCL0001_2022
SI2022_S7_CentralEurope_2022-06-01	ON838178	2022-06-01	Central Europe	Slovenia	SI2022_S7
Slovenia-MPXV-09-2022_CentralEurope_2022-06-01	OP605552	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-09-2022
Slovenia-MPXV-08-2022_CentralEurope_2022-06-01	OP605551	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-08-2022
MPXV_SI2022_S5_CentralEurope_2022-06-01	ON754986	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S5
RNA_1x0q6v_CentralEurope_2022-07-04	OX248696	2022-07-04	Central Europe	Slovakia	RNA_1x0q6v
Slovenia-MPXV-26-2022_CentralEurope_2022-07-18	OP605568	2022-07-18	Central Europe	Slovenia	Slovenia-MPXV-26-2022
MPXV/Spain/HUNSC_ITER_0001a/2022_SouthernEurope_2022-05-31	ON782054	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001a/2022
Slovenia-MPXV-20-2022_CentralEurope_2022-07-31	OP605562	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-20-2022
Monkeypox/PT0562/2022_SouthernEurope_2022-09-01	OP555633	2022-09-01	Southern Europe	Portugal	Monkeypox/PT0562/2022
MPXV_SI2022_S4_CentralEurope_2022-06-01	ON754985	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S4
MPXV_SI2022_S3_CentralEurope_2022-06-01	ON754984	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S3
MPXV_SI2022_S1_VEROE6_CentralEurope_2022-05-23	ON754987	2022-05-23	Central Europe	Slovenia	MPXV_SI2022_S1_VEROE6
SLO_CentralEurope_2022-05-23	ON609725	2022-05-23	Central Europe	Slovenia	SLO
Slovenia-MPXV-44-2022_CentralEurope_2022-08-24	OP605585	2022-08-24	Central Europe	Slovenia	Slovenia-MPXV-44-2022
Slovenia-MPXV-40-2022_CentralEurope_2022-08-23	OP605581	2022-08-23	Central Europe	Slovenia	Slovenia-MPXV-40-2022
MPXV/ITM_pt_31/Belgium/27-May-2022_WesternEurope_2022-05-27	ON950045	2022-05-27	Western Europe	Belgium	MPXV/ITM_pt_31/Belgium/27-May-2022
MPXV/ITM_pt_25/Belgium/16-Jun-2022_WesternEurope_2022-06-16	OP144214	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_25/Belgium/16-Jun-2022
MPXV/ITM_pt_16/Belgium/10-Jun-2022_WesternEurope_2022-06-10	OP144212	2022-06-10	Western Europe	Belgium	MPXV/ITM_pt_16/Belgium/10-Jun-2022
